"Name";"OS";"CreationDate"
"VIA-ASSURANCES-APP-SERVER-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 08:28:25"
"VIA-ASSURANCES-APP-AGENT-SRV-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:52:48"
"VIA-ASSURANCES-AGENT-SERVER-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:33:46"
"VIA-ASSURANCES-API-SERVER-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:44:19"
"VIA-ASSURANCES-MONGODB-SRV-01";"Microsoft Windows Server 2022 (64-bit)";"17/03/2025 13:46:29"
"FW-FGT-DR-MVOLA";"Other 4.x Linux (64-bit)";"23/01/2025 12:30:47"
"MV-SICAP-GRAYLOG-DR-01";"Red Hat Enterprise Linux 9 (64-bit)";"23/10/2025 07:25:27"
"ST-SERVICES-BACKUP-NAKIVO-FULL";"Ubuntu Linux (64-bit)";"29/05/2022 10:23:51"
"TGN-INFRA-REDHAT-VIRTWHO";"Red Hat Enterprise Linux 8 (64-bit)";"10/03/2021 12:26:20"
"SRV-ALFRED-FREE-SN-TEST-SA-1";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:55"
"SRV-ALFRED-FREE-SN-TEST-SA-3";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:55"
"SRV-ALFRED-FREE-SN-TEST-W-1";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:57"
"SRV-ALFRED-FREE-SN-TEST-W-3";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:51"
"SRV-ALFRED-FREE-SN-TEST-SA-2";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:51"
"SRV-ALFRED-FREE-SN-TEST-MASTER-1";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:34"
"SRV-ALFRED-FREE-SN-TEST-W-2";"Ubuntu Linux (64-bit)";"10/10/2024 07:32:56"
"SRV-ALFRED-TGN-DEV-SA-4";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:59"
"SRV-ALFRED-TGN-DEV-W-2";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:55"
"SRV-ALFRED-TGN-DEV-SA-1";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:47"
"SRV-ALFRED-TGN-DEV-W-1";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:57"
"SRV-ALFRED-TGN-DEV-MASTER-1";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:38"
"SRV-ALFRED-TGN-DEV-SA-2";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:57"
"SRV-ALFRED-TGN-DEV-SA-5";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:56"
"SRV-ALFRED-TGN-DEV-W-3";"Ubuntu Linux (64-bit)";"10/10/2024 09:05:06"
"SRV-ALFRED-TGN-DEV-SA-3";"Ubuntu Linux (64-bit)";"10/10/2024 09:04:59"
"SRV1-TOA-WEB";"CentOS 9 (64-bit)";"27/06/2023 05:48:57"
"SRV2-TOA-WEB";"CentOS 9 (64-bit)";"27/06/2023 10:59:57"
"CPP-APPS1-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"17/12/2021 08:56:21"
"CPP-APPS2-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"17/12/2021 09:12:38"
"CPP-DB2-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"15/12/2021 13:16:52"
"CPP-APPS4-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"17/12/2021 09:26:22"
"CPP-APPS3-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"17/12/2021 09:17:36"
