"Name";"OS";"CreationDate"
"CUST-VM-MORAMARKER-02";"Debian GNU/Linux 12 (64-bit)";"17/04/2025 07:59:13"
"PUL-TNR1-NKV-02";"Ubuntu Linux (64-bit)";"27/11/2025 17:48:47"
"STX-NETWORK-BACKUP";"Ubuntu Linux (64-bit)";"12/12/2025 13:25:44"
"FW-FGT-MVOLA-SECONDARY";"Other 4.x Linux (64-bit)";"18/12/2025 08:07:08"
"comp1-harbor-02";;"30/04/2026 18:09:16"
"STX-TRS-PROXY-STXINFRA-TNR1";"Ubuntu Linux (64-bit)";"04/12/2025 10:50:13"
"LAB-EMY-ZEXTRAS-CARBONIO-CE";;"22/04/2021 12:30:25"
"STX-TRS-DTG-02";"Ubuntu Linux (64-bit)";"04/12/2025 13:12:11"
"FW-PF-UGANDA";"FreeBSD 14 or later versions (64-bit)";"28/01/2025 06:30:40"
"STX-PULSE-WINDOWS";"Microsoft Windows Server 2022 (64-bit)";"07/04/2023 05:07:58"
"HA-PROXY-SFTP";"Ubuntu Linux (64-bit)";"03/02/2026 11:37:28"
"vCLS-44b6f31c-8341-11ed-9bca-3a68dd95ffe7";;"11/06/2026 07:57:36"
"vCLS-135860d8-8326-11ed-8bcc-3a68dd95fdc7";;"11/06/2026 07:56:00"
"vCLS-35efe5e2-832c-11ed-9886-3a68dd95ffcb";;"11/06/2026 07:57:46"
"vCLS-4c30644a-d74a-11ed-ab41-3a68dd993727";"VMware Photon CRX (64-bit)";"10/06/2026 13:19:36"
"vCLS-464489ca-d749-11ed-b332-3a68dd9935cb";"VMware Photon CRX (64-bit)";"10/06/2026 11:54:58"
"vCLS-c614d3e4-d74c-11ed-81d4-3a68dd9935e7";"VMware Photon CRX (64-bit)";"09/06/2026 17:26:57"
"vCLS-0b7a6c48-d61d-11ed-91a6-3a68dd993563";"VMware Photon CRX (64-bit)";"09/06/2026 05:49:50"
"vCLS-8d09b276-d74d-11ed-9738-3a68dd993d83";"VMware Photon CRX (64-bit)";"29/05/2026 11:42:50"
"vCLS-5452b694-832f-11ed-8142-3a68dd95fbff";"VMware Photon CRX (64-bit)";"29/05/2026 11:20:02"
"CUST-VM-LAGAZETTE-DGI-REC-20160613-02709";;"01/01/1970 00:00:00"
"MVO-TNR1-TRS-02";"Ubuntu Linux (64-bit)";"18/04/2026 07:35:29"
"MVO-TNR1-TRS-04";"Ubuntu Linux (64-bit)";"18/04/2026 08:11:24"
"MVO-TNR1-TRS-05";"Ubuntu Linux (64-bit)";"19/04/2026 15:07:19"
"MVO-TNR1-TRS-03";"Ubuntu Linux (64-bit)";"18/04/2026 08:09:00"
"MVO-TNR1-TRS-01";"Ubuntu Linux (64-bit)";"18/04/2026 07:36:54"
"CUST-VM-OPHAM-ACT-20160824-04362";"Debian GNU/Linux 11 (64-bit)";"01/01/1970 00:00:00"
"STX-TRS-PROXY-DTG-TNR1";"Ubuntu Linux (64-bit)";"04/12/2025 10:47:33"
"CUST-VM-FONDATION-TELMA-SRV-DEV-ACT-20140926-02445";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-FONDATION-TELMA-SRV-PROD-NEW-ACT-20140926-02445";"Ubuntu Linux (64-bit)";"20/04/2022 07:13:28"
"TGN-INFRA-TEST-EMM";;"05/11/2024 09:25:46"
"TGN-INFRA-DEV-APPLI-DCG";"CentOS 4/5 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ADES";"Debian GNU/Linux 12 (64-bit)";"17/10/2024 12:03:50"
"CUST-VM-AXIAN-ALL-SITES";"Red Hat Enterprise Linux 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ASS-IMPACT";"Red Hat Enterprise Linux 8 (64-bit)";"19/09/2023 04:22:42"
"CUST-VM-SESAM-BKP-ACT-20160527-03924";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SESAM-MOODLE-LINUX_54_165";;"01/01/1970 00:00:00"
"CUST-VM-SESAM-TUTORAT-ACT-20160922-02040";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-TANYMEVA-02";"Ubuntu Linux (64-bit)";"31/10/2025 06:53:07"
